symbol,iri,curie
MO1,https://purl.brain-bican.org/ontology/mbao/MBA_107,MBA:107
MO5,https://purl.brain-bican.org/ontology/mbao/MBA_299,MBA:299
MO6a,https://purl.brain-bican.org/ontology/mbao/MBA_644,MBA:644
MO6b,https://purl.brain-bican.org/ontology/mbao/MBA_947,MBA:947
MOB,https://purl.brain-bican.org/ontology/mbao/MBA_507,MBA:507
MOBgl,https://purl.brain-bican.org/ontology/mbao/MBA_212,MBA:212
MOBgr,https://purl.brain-bican.org/ontology/mbao/MBA_220,MBA:220
MOBipl,https://purl.brain-bican.org/ontology/mbao/MBA_228,MBA:228
MOBmi,https://purl.brain-bican.org/ontology/mbao/MBA_236,MBA:236
MOBopl,https://purl.brain-bican.org/ontology/mbao/MBA_244,MBA:244
MOp,https://purl.brain-bican.org/ontology/mbao/MBA_985,MBA:985
MOp1,https://purl.brain-bican.org/ontology/mbao/MBA_320,MBA:320
MOp2/3,https://purl.brain-bican.org/ontology/mbao/MBA_943,MBA:943
MOp5,https://purl.brain-bican.org/ontology/mbao/MBA_648,MBA:648
MOp6a,https://purl.brain-bican.org/ontology/mbao/MBA_844,MBA:844
MOs,https://purl.brain-bican.org/ontology/mbao/MBA_993,MBA:993
MOs1,https://purl.brain-bican.org/ontology/mbao/MBA_656,MBA:656
MOs2/3,https://purl.brain-bican.org/ontology/mbao/MBA_962,MBA:962
MOs5,https://purl.brain-bican.org/ontology/mbao/MBA_767,MBA:767
MOs6a,https://purl.brain-bican.org/ontology/mbao/MBA_1021,MBA:1021
MPN,https://purl.brain-bican.org/ontology/mbao/MBA_515,MBA:515
MPO,https://purl.brain-bican.org/ontology/mbao/MBA_523,MBA:523
MRN,https://purl.brain-bican.org/ontology/mbao/MBA_128,MBA:128
MS,https://purl.brain-bican.org/ontology/mbao/MBA_564,MBA:564
MSC,https://purl.brain-bican.org/ontology/mbao/MBA_904,MBA:904
