ID	Type	RO:0002220	contact_um2	min_dist_um	centroid_um	spatial_atlas
ID	TYPE	AI RO:0002220	>AT n2o:contactArea^^xsd:float	>AT n2o:minDistance^^xsd:float	>AT n2o:centroidDistance^^xsd:float	>AI n2o:spatialReferenceAtlas
MBA:728	owl:NamedIndividual	MBA:1017	29769375.887	25.000	672.349	n2o:CCF2020
MBA:1017	owl:NamedIndividual	MBA:936	606250.018	25.000	1011.913	n2o:CCF2020
MBA:936	owl:NamedIndividual	MBA:1017	606250.018	25.000	1011.913	n2o:CCF2020
MBA:1017	owl:NamedIndividual	MBA:944	420625.013	25.000	1039.942	n2o:CCF2020
MBA:944	owl:NamedIndividual	MBA:1017	420625.013	25.000	1039.942	n2o:CCF2020
MBA:1018	owl:NamedIndividual	MBA:378	2146875.064	25.000	1688.206	n2o:CCF2020
MBA:378	owl:NamedIndividual	MBA:1018	2146875.064	25.000	1688.206	n2o:CCF2020
MBA:1018	owl:NamedIndividual	MBA:484682512	1383750.041	25.000	1345.378	n2o:CCF2020
MBA:484682512	owl:NamedIndividual	MBA:1018	1383750.041	25.000	1345.378	n2o:CCF2020
MBA:1018	owl:NamedIndividual	MBA:541	5491875.164	25.000	486.731	n2o:CCF2020
MBA:541	owl:NamedIndividual	MBA:1018	5491875.164	25.000	486.731	n2o:CCF2020
MBA:1018	owl:NamedIndividual	MBA:776	525000.016	25.000	1584.212	n2o:CCF2020
MBA:776	owl:NamedIndividual	MBA:1018	525000.016	25.000	1584.212	n2o:CCF2020
MBA:1020	owl:NamedIndividual	MBA:155	1156250.034	25.000	857.389	n2o:CCF2020
MBA:155	owl:NamedIndividual	MBA:1020	1156250.034	25.000	857.389	n2o:CCF2020
MBA:1020	owl:NamedIndividual	MBA:218	1296250.039	25.000	801.409	n2o:CCF2020
MBA:218	owl:NamedIndividual	MBA:1020	1296250.039	25.000	801.409	n2o:CCF2020
MBA:1020	owl:NamedIndividual	MBA:475	21250.001	25.000	1146.877	n2o:CCF2020
MBA:475	owl:NamedIndividual	MBA:1020	21250.001	25.000	1146.877	n2o:CCF2020
MBA:1020	owl:NamedIndividual	MBA:549	218125.007	25.000	455.672	n2o:CCF2020
MBA:549	owl:NamedIndividual	MBA:1020	218125.007	25.000	455.672	n2o:CCF2020
MBA:1020	owl:NamedIndividual	MBA:560581551	2125000.063	25.000	457.906	n2o:CCF2020
MBA:560581551	owl:NamedIndividual	MBA:1020	2125000.063	25.000	457.906	n2o:CCF2020
MBA:1020	owl:NamedIndividual	MBA:563807435	889375.027	25.000	886.687	n2o:CCF2020
MBA:563807435	owl:NamedIndividual	MBA:1020	889375.027	25.000	886.687	n2o:CCF2020
MBA:1020	owl:NamedIndividual	MBA:575	446875.013	25.000	392.456	n2o:CCF2020
MBA:575	owl:NamedIndividual	MBA:1020	446875.013	25.000	392.456	n2o:CCF2020
MBA:1020	owl:NamedIndividual	MBA:629	1413125.042	25.000	889.568	n2o:CCF2020
MBA:629	owl:NamedIndividual	MBA:1020	1413125.042	25.000	889.568	n2o:CCF2020
MBA:1020	owl:NamedIndividual	MBA:718	442500.013	25.000	545.654	n2o:CCF2020
MBA:718	owl:NamedIndividual	MBA:1020	442500.013	25.000	545.654	n2o:CCF2020
MBA:1020	owl:NamedIndividual	MBA:725	310000.009	25.000	741.318	n2o:CCF2020
MBA:725	owl:NamedIndividual	MBA:1020	310000.009	25.000	741.318	n2o:CCF2020
MBA:1020	owl:NamedIndividual	MBA:733	4241250.126	25.000	320.407	n2o:CCF2020
MBA:733	owl:NamedIndividual	MBA:1020	4241250.126	25.000	320.407	n2o:CCF2020
MBA:1020	owl:NamedIndividual	MBA:741	410625.012	25.000	815.033	n2o:CCF2020
MBA:741	owl:NamedIndividual	MBA:1020	410625.012	25.000	815.033	n2o:CCF2020
MBA:1020	owl:NamedIndividual	MBA:907	703125.021	25.000	617.658	n2o:CCF2020
MBA:907	owl:NamedIndividual	MBA:1020	703125.021	25.000	617.658	n2o:CCF2020
MBA:1020	owl:NamedIndividual	MBA:930	630625.019	25.000	336.539	n2o:CCF2020
MBA:930	owl:NamedIndividual	MBA:1020	630625.019	25.000	336.539	n2o:CCF2020
MBA:1022	owl:NamedIndividual	MBA:1031	197500.006	25.000	686.446	n2o:CCF2020
MBA:1031	owl:NamedIndividual	MBA:1022	197500.006	25.000	686.446	n2o:CCF2020
MBA:1022	owl:NamedIndividual	MBA:342	263125.008	25.000	1875.401	n2o:CCF2020
MBA:342	owl:NamedIndividual	MBA:1022	263125.008	25.000	1875.401	n2o:CCF2020
MBA:1022	owl:NamedIndividual	MBA:477	1913750.057	25.000	1020.045	n2o:CCF2020
MBA:477	owl:NamedIndividual	MBA:1022	1913750.057	25.000	1020.045	n2o:CCF2020
MBA:1022	owl:NamedIndividual	MBA:672	6831250.204	25.000	967.409	n2o:CCF2020
MBA:672	owl:NamedIndividual	MBA:1022	6831250.204	25.000	967.409	n2o:CCF2020
MBA:1022	owl:NamedIndividual	MBA:768	74375.002	25.000	1906.721	n2o:CCF2020
MBA:768	owl:NamedIndividual	MBA:1022	74375.002	25.000	1906.721	n2o:CCF2020
MBA:1022	owl:NamedIndividual	MBA:784	5418750.161	25.000	1761.118	n2o:CCF2020
MBA:784	owl:NamedIndividual	MBA:1022	5418750.161	25.000	1761.118	n2o:CCF2020
MBA:1022	owl:NamedIndividual	MBA:803	5053125.151	25.000	865.683	n2o:CCF2020
MBA:803	owl:NamedIndividual	MBA:1022	5053125.151	25.000	865.683	n2o:CCF2020
MBA:1025	owl:NamedIndividual	MBA:1033	8903125.265	25.000	187.659	n2o:CCF2020
MBA:1033	owl:NamedIndividual	MBA:1025	8903125.265	25.000	187.659	n2o:CCF2020
MBA:1025	owl:NamedIndividual	MBA:1041	2176875.065	25.000	1835.881	n2o:CCF2020
MBA:1041	owl:NamedIndividual	MBA:1025	2176875.065	25.000	1835.881	n2o:CCF2020
MBA:1025	owl:NamedIndividual	MBA:512	1432500.043	25.000	1620.673	n2o:CCF2020
MBA:512	owl:NamedIndividual	MBA:1025	1432500.043	25.000	1620.673	n2o:CCF2020
MBA:1025	owl:NamedIndividual	MBA:728	13536875.403	25.000	950.015	n2o:CCF2020
MBA:728	owl:NamedIndividual	MBA:1025	13536875.403	25.000	950.015	n2o:CCF2020
MBA:1025	owl:NamedIndividual	MBA:944	1016250.030	25.000	1314.547	n2o:CCF2020
MBA:944	owl:NamedIndividual	MBA:1025	1016250.030	25.000	1314.547	n2o:CCF2020
MBA:1029	owl:NamedIndividual	MBA:128	438750.013	25.000	803.729	n2o:CCF2020
MBA:128	owl:NamedIndividual	MBA:1029	438750.013	25.000	803.729	n2o:CCF2020
MBA:1029	owl:NamedIndividual	MBA:215	1956250.058	25.000	308.646	n2o:CCF2020
MBA:215	owl:NamedIndividual	MBA:1029	1956250.058	25.000	308.646	n2o:CCF2020
MBA:1029	owl:NamedIndividual	MBA:218	1417500.042	25.000	877.350	n2o:CCF2020
MBA:218	owl:NamedIndividual	MBA:1029	1417500.042	25.000	877.350	n2o:CCF2020
MBA:1029	owl:NamedIndividual	MBA:313	875000.026	25.000	733.636	n2o:CCF2020
MBA:313	owl:NamedIndividual	MBA:1029	875000.026	25.000	733.636	n2o:CCF2020
MBA:1029	owl:NamedIndividual	MBA:325	483750.014	25.000	170.308	n2o:CCF2020
MBA:325	owl:NamedIndividual	MBA:1029	483750.014	25.000	170.308	n2o:CCF2020
MBA:1029	owl:NamedIndividual	MBA:549	948750.028	25.000	1231.827	n2o:CCF2020
MBA:549	owl:NamedIndividual	MBA:1029	948750.028	25.000	1231.827	n2o:CCF2020
MBA:1029	owl:NamedIndividual	MBA:560581551	51875.002	25.000	661.539	n2o:CCF2020
