ID	Type	n2o:paintedIn	atlas_level
MBA:718	owl:NamedIndividual	n2o:CCF2020	structure
MBA:72	owl:NamedIndividual	n2o:CCF2020	structure
MBA:721	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:723	owl:NamedIndividual	n2o:CCF2020	structure
MBA:725	owl:NamedIndividual	n2o:CCF2020	structure
MBA:726	owl:NamedIndividual	n2o:CCF2020	structure
MBA:727	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:728	owl:NamedIndividual	n2o:CCF2020	structure
MBA:729	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:731	owl:NamedIndividual	n2o:CCF2020	structure
MBA:732	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:733	owl:NamedIndividual	n2o:CCF2020	structure
MBA:741	owl:NamedIndividual	n2o:CCF2020	structure
MBA:743	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:744	owl:NamedIndividual	n2o:CCF2020	structure
MBA:746	owl:NamedIndividual	n2o:CCF2020	structure
MBA:749	owl:NamedIndividual	n2o:CCF2020	structure
MBA:752	owl:NamedIndividual	n2o:CCF2020	structure
MBA:753	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:754	owl:NamedIndividual	n2o:CCF2020	structure
MBA:755	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:760	owl:NamedIndividual	n2o:CCF2020	structure
MBA:763	owl:NamedIndividual	n2o:CCF2020	structure
MBA:767	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:768	owl:NamedIndividual	n2o:CCF2020	structure
MBA:771	owl:NamedIndividual	n2o:CCF2020	division
MBA:772	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:773	owl:NamedIndividual	n2o:CCF2020	structure
MBA:774	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:776	owl:NamedIndividual	n2o:CCF2020	structure
MBA:778	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:78	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:780	owl:NamedIndividual	n2o:CCF2020	structure
