subclass,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm
125 DMH Hmx2 Glut,0,0,0,0,410,0,0,0,4,0,1,2,0,0,0,0,0,0,0,1,0,0,7,0
126 ARH-PVp Tbx3 Glut,0,0,0,1,605,0,0,0,10,0,0,3,0,4,0,2,7,0,1,0,0,0,1,0
127 DMH-LHA Vgll2 Glut,0,0,0,0,510,0,0,0,0,1,5,0,1,2,1,0,0,0,0,5,2,0,11,0
128 VMH Fezf1 Glut,0,0,0,0,871,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
129 VMH Nr5a1 Glut,0,0,0,0,4310,1,0,0,1,4,0,3,0,2,0,0,5,0,27,0,58,0,9,0
130 LHA Pmch Glut,0,0,0,0,338,0,1,0,0,0,6,0,2,0,0,0,0,0,0,6,8,1,36,0
131 LHA-AHN-PVH Otp Trh Glut,0,0,0,0,1565,0,0,0,1,3,48,12,6,11,0,1,4,0,83,1,42,0,10,0
132 AHN-RCH-LHA Otp Fezf1 Glut,0,0,0,0,2768,0,1,0,3,0,43,6,10,2,0,0,0,0,65,1,42,0,65,0
133 PVH-SO-PVa Otp Glut,0,0,0,0,2350,0,1,0,0,0,31,17,68,19,0,0,25,0,322,0,220,0,14,0
134 PH-ant-LHA Otp Bsx Glut,0,0,0,0,1784,0,3,1,0,2,1,0,28,2,0,0,2,0,0,5,3,0,38,0
135 STN-PSTN Pitx2 Glut,0,1,1,0,2065,0,133,0,0,1,177,1,2,0,0,0,1,1,2,77,316,137,26,0
136 PMv-TMv Pitx2 Glut,0,0,0,0,806,0,2,1,2,0,0,0,0,7,0,0,2,0,0,0,3,0,4,0
137 PH-an Pitx2 Glut,0,0,0,0,192,0,0,0,1,0,0,0,3,15,0,0,0,0,0,0,0,0,2,0
138 PH Pitx2 Glut,0,0,0,0,522,0,218,2,1,7,1,2,83,13,0,0,4,0,2,2,0,0,25,0
139 PH-LHA Foxb1 Glut,0,0,0,0,923,0,98,1,14,0,1,2,2,0,0,0,3,0,5,0,25,0,19,0
140 PMd-LHA Foxb1 Glut,0,0,0,0,976,0,2,7,0,3,0,0,0,1,0,0,0,0,0,0,5,0,25,0
141 PH-SUM Foxa1 Glut,0,1,0,0,1243,0,161,0,5,1,0,0,15,20,0,0,0,0,1,4,0,0,76,0
142 HY Gnrh1 Glut,0,0,0,0,21,2,0,0,8,0,20,18,0,2,0,0,0,0,13,0,4,1,1,0
143 MM-ant Foxb1 Glut,0,0,0,0,2016,0,1,0,0,1,0,0,0,103,0,0,1,0,0,0,0,0,41,0
